id,Movie,Production Country
1702,324670,95
1703,11205,60
1704,121929,109
1705,12639,95
1706,256907,31
1707,29083,95
1708,10543,95
1709,134782,95
1710,123047,95
1711,304134,31
1712,45671,121
1713,116723,64
1714,52918,116
1715,72856,95
1716,81937,95
1717,15050,95
1718,13022,113
1719,215740,92
1720,48180,69
1721,9673,92
1722,70734,95
1723,383567,95
1724,1165,64
1725,25716,104
1726,63326,95
1727,248376,91
1728,97794,75
1729,261246,64
1730,46124,67
1731,286657,95
1732,245394,64
1733,5237,30
1734,9659,113
1735,74103,92
1736,158990,26
1737,50875,95
1738,62397,33
1739,1421,121
1740,39939,95
1741,51759,95
1742,266285,93
1743,362180,60
1744,35862,44
1745,67531,95
1746,19623,31
1747,16356,9
1748,281968,33
1749,267955,95
1750,31277,95
1751,305932,95
1752,128598,69
1753,64129,95
1754,73600,95
1755,117629,4
1756,128043,37
1757,24926,95
1758,28656,95
1759,36758,64
1760,20312,9
1761,359204,64
1762,20907,37
1763,285841,9
1764,22551,95
1765,17467,67
1766,29352,102
1767,21371,95
1768,14753,33
1769,141803,95
1770,99283,95
1771,61487,95
1772,40041,113
1773,21769,104
1774,37653,121
1775,77068,114
1776,19901,95
1777,51902,48
1778,24442,95
1779,41206,95
1780,93904,95
1781,201,95
1782,44470,95
1783,26946,95
1784,2012,36
1785,111839,95
1786,282024,26
1787,237,121
1788,11908,95
1789,16374,121
1790,32021,95
1791,24272,95
1792,426253,95
1793,14284,95
1794,50780,95
1795,159304,9
1796,27549,95
1797,258363,102
1798,1595,95
1799,395479,26
1800,3933,95
1801,364379,113
1802,183962,121
1803,284052,95
1804,166207,60
1805,119738,95
1806,261036,95
1807,9066,95
1808,244316,95
1809,64450,121
1810,425003,95
1811,57683,95
1812,24331,9
1813,41764,57
1814,9690,92
1815,209921,121
1816,44754,95
1817,171075,64
1818,6972,64
1819,457307,26
1820,345176,64
1821,50123,95
1822,104556,95
1823,4644,95
1824,2355,95
1825,12476,95
1826,43095,104
1827,19621,64
1828,28417,44
1829,61765,121
1830,19665,9
1831,16412,9
1832,180685,44
1833,67273,95
1834,1986,44
1835,157305,64
1836,5123,95
1837,17238,33
1838,38269,95
1839,27045,95
1840,18971,64
1841,128089,64
1842,24750,95
1843,33338,91
1844,40879,121
1845,57627,49
1846,82716,48
1847,33091,50
1848,11622,95
1849,22579,75
1850,27351,104
1851,278621,95
1852,29233,95
1853,167,92
1854,95169,95
1855,16638,33
1856,28974,95
1857,414749,95
1858,81600,36
1859,213443,95
1860,9042,95
1861,112912,95
1862,32635,69
1863,266285,50
1864,154371,95
1865,209401,64
1866,63825,31
1867,197583,95
1868,348537,60
1869,413052,9
1870,1966,92
1871,297853,95
1872,9470,91
1873,215032,9
