time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-26 00:00:00+00:00,127,4,47,21
2024-07-27 00:00:00+00:00,43,8,86,23
2024-07-28 00:00:00+00:00,41,3,38,18
2024-07-29 00:00:00+00:00,100,6,239,24
2024-07-30 00:00:00+00:00,550,7,162,23
2024-07-31 00:00:00+00:00,464,6,105,19
2024-08-01 00:00:00+00:00,306,11,197,25
2024-08-02 00:00:00+00:00,194,5,90,21
2024-08-03 00:00:00+00:00,97,1,99,11
2024-08-04 00:00:00+00:00,10,5,41,12
2024-08-05 00:00:00+00:00,130,6,130,32
2024-08-06 00:00:00+00:00,479,11,265,29
2024-08-07 00:00:00+00:00,250,7,123,33
2024-08-08 00:00:00+00:00,427,8,139,25
2024-08-09 00:00:00+00:00,161,6,182,46
2024-08-10 00:00:00+00:00,6,4,47,13
2024-08-11 00:00:00+00:00,5,3,120,17
2024-08-12 00:00:00+00:00,160,7,175,21
2024-08-13 00:00:00+00:00,587,7,179,27
2024-08-14 00:00:00+00:00,64,3,78,21
2024-08-15 00:00:00+00:00,128,7,185,41
2024-08-16 00:00:00+00:00,4,3,30,18
2024-08-17 00:00:00+00:00,37,5,98,12
2024-08-18 00:00:00+00:00,115,7,67,19
2024-08-19 00:00:00+00:00,403,8,186,37
2024-08-20 00:00:00+00:00,305,15,195,45
2024-08-21 00:00:00+00:00,295,7,110,26
2024-08-22 00:00:00+00:00,417,2,194,26
2024-08-23 00:00:00+00:00,204,7,171,30
2024-08-24 00:00:00+00:00,7,3,21,14
2024-08-25 00:00:00+00:00,1,1,44,16
2024-08-26 00:00:00+00:00,514,11,195,29
2024-08-27 00:00:00+00:00,324,11,274,33
2024-08-28 00:00:00+00:00,464,8,302,42
2024-08-29 00:00:00+00:00,168,4,179,32
2024-08-30 00:00:00+00:00,201,7,69,25
2024-08-31 00:00:00+00:00,7,4,24,18
2024-09-01 00:00:00+00:00,7,4,26,19
2024-09-02 00:00:00+00:00,303,6,156,40
2024-09-03 00:00:00+00:00,68,6,103,32
2024-09-04 00:00:00+00:00,249,3,152,33
2024-09-05 00:00:00+00:00,243,6,158,32
2024-09-06 00:00:00+00:00,122,6,108,33
2024-09-07 00:00:00+00:00,7,5,66,33
2024-09-08 00:00:00+00:00,7,6,96,74
2024-09-09 00:00:00+00:00,232,5,177,53
2024-09-10 00:00:00+00:00,671,6,153,38
2024-09-11 00:00:00+00:00,892,9,323,93
2024-09-12 00:00:00+00:00,669,6,1103,52
2024-09-13 00:00:00+00:00,159,3,89,24
2024-09-14 00:00:00+00:00,2,2,112,23
2024-09-15 00:00:00+00:00,4,4,27,15
2024-09-16 00:00:00+00:00,529,10,261,23
2024-09-17 00:00:00+00:00,110,6,316,26
2024-09-18 00:00:00+00:00,1118,9,483,39
2024-09-19 00:00:00+00:00,244,9,159,38
2024-09-20 00:00:00+00:00,274,7,177,26
2024-09-21 00:00:00+00:00,2,2,23,11
2024-09-22 00:00:00+00:00,5,4,87,10
2024-09-23 00:00:00+00:00,691,8,159,22
2024-09-24 00:00:00+00:00,291,4,126,25
